Judet,Nume Unitati,Tip,Latitudine,Longitudine
Gorj,"Școala Gimnazială ""Antonie Mogoș"" Bălești, Gorj",Școală Gimnazială,45.0124012,23.2025983
Gorj,"Școala Gimnazială Godinești, Gorj",Școală Gimnazială,45.069766,22.9649877
Gorj,"Școala Gimnazială nr 2, Motru, Gorj",Școală Gimnazială,44.8027376,22.9728558
Gorj,"Școala Gimnazială Padeș, Gorj",Școală Gimnazială,45.0199913,22.8575431
Gorj,"Grădinița cu Program Prelungit ""Mihai Eminescu"", Targu Jiu, Județul Gorj",Grădinița cu Program Prelungit,45.0264508,23.2788618
Gorj,"Gradinita cu Program Prelungit:""Lumea Copiilor'', Targu Jiu, Județul Gorj",Gradinita cu Program Prelungit,45.0341839,23.2746076
Gorj,"Școala Gimnazială Alexandru Ștefulescu, Tg- Jiu, Județul Gorj",Școală Gimnazială,45.0383672,23.2757756
Gorj,"Grădinița Program Prelungit Nr. 1, Tg.Jiu, Județul Gorj",Grădinița Program Prelungit,45.0286121,23.2719612
Gorj,"Liceul Tehnologic Bâlteni, Județul Gorj",Liceu Tehnologic,44.8646644,23.2790984
Gorj,"Școala Gimnazială Nr. 1 Andreești, Comuna Vladimir, Județul Gorj",Școală Gimnazială,44.7825813,23.5394011
Gorj,"Colegiul Economic ""Virgil Madgearu"" Târgu Jiu, Județul Gorj",Colegiul Economic,45.0385935,23.2861783
Gorj,"Liceul Tehnologic Nr.2 Târgu Jiu, Județul Gorj",Liceu Tehnologic,45.031479,23.2689105
Gorj,"Liceul Tehnologic Roșia de Amaradia, Școala Gimnazială Ruget, Județul Gorj",Liceu Tehnologic,45.0166658,23.7642216
Gorj,"Școala Gimnazială Nr.1 Motru, Județul Gorj",Școală Gimnazială,44.8035496,22.9712918
Gorj,"Grădinița cu Program Prelungit Nr. 8, Târgu-Jiu, Județul Gorj",Grădinița cu Program Prelungit,45.026527,23.275459
Gorj,"Liceul Auto Traian Vuia, Târgu-Jiu, Județul Gorj",Liceu Auto,45.0657369,23.2936388
Gorj,"Scoala Gimnazială Sănești, Târgu-Jiu, Județul Gorj",Scoala Gimnazială,45.0474829,23.274941
Gorj,"Grădinița cu program prelungit nr.8 Structura Scufița Roșie, Târgu-Jiu, Județul Gorj",Grădinița cu program prelungit,45.026527,23.275459
Gorj,"Colegiul Național ""Ecaterina Teodoroiu"", Târgu-Jiu, Județul Gorj",Colegiu Național,45.0281545,23.2710831
Gorj,"Liceul Teologic Târgu Jiu, Gorj",Liceu Teologic,45.0310209,23.2783754
Gorj,"Grădinița Prikin'Dell Tg-Jiu, Gorj",Grădiniță,45.0361109,23.2556377
Gorj,"Școala Gimnazială Alimpești, județul Gorj",Școală Gimnazială,45.0891471,23.8021994
Gorj,"Școala Gimnazială Ionești, județul Gorj",Școală Gimnazială,44.9485595,23.2427079
Gorj,"Școala Gimnazială Novaci, județul Gorj",Școală Gimnazială,45.1782926,23.672086
Gorj,"Școala Gimnazială nr.1 Telești, localitatea Telești, județul Gorj",Școală Gimnazială,44.9864753,23.0931087
Hunedoara,"Liceul Tehnologic ""Retezat"" Uricani, județul Hunedoara",Liceu Tehnologic,45.340086,23.1533879
Iași,"Grădinița ""AngelKids"" din localitatea Iași, județul Iași",Grădiniță,47.1674241,27.5760845
Iaşi,"Şcoala Gimnazială ""Mihai Codreanu"" Iași, din localitatea Iași, județul Iași",Şcoală Gimnazială,47.1666718,27.5882313
Iași,"Școala Gimnazială ""Ion Neculce"" Iași, județul Iași",Școală Gimnazială,47.1527331,27.5771424
Iași,"Centrul Județean de Resurse și Asistență Educațională Iași, județul Iași",Centrul Județean de Resurse și Asistență Educațională,47.1649151,27.5867552
Iași,"Colegiul Tehnic ""Ion Holban"", județul Iași",Colegiul Tehnic,47.1485515,27.5761483
Iași,"Liceul Teoretic ""Alexandru Ioan Cuza"" Iași, județul Iași",Liceu Teoretic,47.1618609,27.6106488
Iași,"Colegiul Național de Artă ""Octav Băncilă"" Iași, județul Iași",Colegiu Național de Artă,47.165023,27.58542
Iași,"Școala Gimnazială ""Iordache Cantacuzino"" Pașcani, din localitatea Pașcani, județul Iași",Școală Gimnazială,47.2458122,26.7262673
Iași,"Școala Gimnazială ""D.D.Pătrășcanu"", Tomești, Județul Iași",Școală Gimnazială,47.135613,27.6920495
Iași,"Colegiul Economic Administrativ Iași, Județul Iași",Colegiul Economic Administrativ,47.1669924,27.5887311
Iași,"Școala Gimnazială ""Ion Ghica"" Iași, Județul Iași",Școală Gimnazială,47.1512159,27.5978076
Iași,"Liceul Teoretic ""Miron Costin"" Iași, Județul Iași",Liceu Teoretic,47.255837,26.721498
Iași,"Școala Gimnazială ""Carmen Sylva"" Iași, Județul Iași",Școală Gimnazială,47.180491,27.5019399
Iași,"Colegiul Național ""Emil Racoviță"" Iași, județul Iași",Colegiu Național,47.1487694,27.5870503
Iași,"Școala Gimnazială nr. 1 Comarna, județul Iași",Școală Gimnazială,47.0678683,27.7766346
Ilfov,"Centrul Școlar pentru Educație Incluzivă Periș, localitatea Periș, județul Ilfov",Centrul Școlar pentru Educație Incluzivă,44.673679,25.9905729
Ilfov,"Liceul Teoretic Nr. 1 Periș, localitatea Periș, județul Ilfov",Liceu Teoretic,44.6741992,25.9919556
Ilfov,"Școala Gimnazială Nr. 2, Crețești, localitatea Vidra, județul Ilfov",Școală Gimnazială,44.2792408,26.1340107
Ilfov,"Școala Gimnazială ""Petru Rareș"" din localitatea Chiajna, județul Ilfov",Școală Gimnazială,44.4502786,25.9857401
Ilfov,"Grădinița ""Rița-Gărgărița"", localitatea Brănești, județul Ilfov",Grădiniță,44.456526,26.3362248
Ilfov,"Școala Gimnazială Nr. 1, localitatea Bragadiru județul Ilfov",Școală Gimnazială,44.37817,26.00608
Ilfov,"Palatul Copiilor Și Elevilor Ilfov, județul Ilfov",Palatul Copiilor Și Elevilor,44.5602355,25.9449386
